sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	CFC113_D_CONC_BOTTLE [pmol/kg]	SF6_D_CONC_BOTTLE [fmol/kg]	He_D_CONC_BOTTLE [nmol/kg]	Ne_D_CONC_BOTTLE [nmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	PHOSPHATE_LL_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRATE_LL_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	NITRITE_LL_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	DIC_13_12_D_DELTA_BOTTLE [per mil]	He_3_4_D_DELTA_BOTTLE [per mil]	TRITIUM_D_CONC_BOTTLE [TU]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	NITRATE_15_14_D_DELTA_BOTTLE [per mil]	SILICATE_30_28_D_DELTA_BOTTLE [per mil]	SALINITY_D_CONC_PUMP	PHOSPHATE_LL_D_CONC_FISH [umol/kg]	NITRATE_LL_D_CONC_FISH [umol/kg]	NITRITE_LL_D_CONC_FISH [umol/kg]	SALINITY_D_CONC_UWAY	DOC_D_CONC_UWAY [umol/kg]	Al_D_CONC_BOTTLE [nmol/kg]	Ba_D_CONC_BOTTLE [nmol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Cu_D_CONC_BOTTLE [nmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Fe_II_D_CONC_BOTTLE [nmol/kg]	Fe_S_CONC_BOTTLE [nmol/kg]	Ga_D_CONC_BOTTLE [pmol/kg]	Hg_D_CONC_BOTTLE [pmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	Y_D_CONC_BOTTLE [pmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Ce_D_CONC_BOTTLE [pmol/kg]	Pr_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Sm_D_CONC_BOTTLE [pmol/kg]	Eu_D_CONC_BOTTLE [pmol/kg]	Gd_D_CONC_BOTTLE [pmol/kg]	Tb_D_CONC_BOTTLE [pmol/kg]	Dy_D_CONC_BOTTLE [pmol/kg]	Ho_D_CONC_BOTTLE [pmol/kg]	Er_D_CONC_BOTTLE [pmol/kg]	Tm_D_CONC_BOTTLE [pmol/kg]	Yb_D_CONC_BOTTLE [pmol/kg]	Lu_D_CONC_BOTTLE [pmol/kg]	Nd_143_144_D_EPSILON_BOTTLE [per 10000]	Pb_206_204_D_RATIO_BOTTLE	Pb_206_207_D_RATIO_BOTTLE	Pb_208_207_D_RATIO_BOTTLE	Cd_114_110_D_DELTA_BOTTLE [per mil]	Fe_56_54_D_DELTA_BOTTLE [per mil]	Zn_66_64_D_DELTA_BOTTLE [per mil]	Pa_231_D_CONC_BOTTLE [uBq/kg]	Pb_210_D_CONC_BOTTLE [mBq/kg]	Po_210_D_CONC_BOTTLE [mBq/kg]	Th_230_D_CONC_BOTTLE [uBq/kg]	Th_232_D_CONC_BOTTLE [pmol/kg]	Th_234_T_CONC_BOTTLE [mBq/kg]	Ra_223_D_CONC_PUMP [mBq/kg]	Ra_224_D_CONC_PUMP [mBq/kg]	Ra_226_D_CONC_PUMP [mBq/kg]	Ra_228_D_CONC_PUMP [mBq/kg]	Th_228_D_CONC_PUMP [uBq/kg]	Al_D_CONC_FISH [nmol/kg]	Cd_D_CONC_FISH [nmol/kg]	Co_D_CONC_FISH [pmol/kg]	Cu_D_CONC_FISH [nmol/kg]	Fe_D_CONC_FISH [nmol/kg]	Fe_II_D_CONC_FISH [nmol/kg]	Fe_S_CONC_FISH [nmol/kg]	Ga_D_CONC_FISH [pmol/kg]	Hg_D_CONC_FISH [pmol/kg]	Mn_D_CONC_FISH [nmol/kg]	Ni_D_CONC_FISH [nmol/kg]	Pb_D_CONC_FISH [pmol/kg]	Zn_D_CONC_FISH [nmol/kg]	Y_D_CONC_FISH [pmol/kg]	La_D_CONC_FISH [pmol/kg]	Ce_D_CONC_FISH [pmol/kg]	Pr_D_CONC_FISH [pmol/kg]	Nd_D_CONC_FISH [pmol/kg]	Sm_D_CONC_FISH [pmol/kg]	Eu_D_CONC_FISH [pmol/kg]	Gd_D_CONC_FISH [pmol/kg]	Tb_D_CONC_FISH [pmol/kg]	Dy_D_CONC_FISH [pmol/kg]	Ho_D_CONC_FISH [pmol/kg]	Er_D_CONC_FISH [pmol/kg]	Tm_D_CONC_FISH [pmol/kg]	Yb_D_CONC_FISH [pmol/kg]	Lu_D_CONC_FISH [pmol/kg]	Nd_143_144_D_EPSILON_FISH [per 10000]	Pb_206_204_D_RATIO_FISH	Pb_206_207_D_RATIO_FISH	Pb_208_207_D_RATIO_FISH	Fe_56_54_D_DELTA_FISH [per mil]	Zn_66_64_D_DELTA_FISH [per mil]	Pa_231_D_CONC_FISH [uBq/kg]	Th_230_D_CONC_FISH [uBq/kg]	Th_232_D_CONC_FISH [pmol/kg]	L1Cu_D_CONC_BOTTLE [nmol/kg]	L1Cu_D_LogK_BOTTLE	L1Fe_D_CONC_BOTTLE [nmol/kg]	L1Fe_D_LogK_BOTTLE	L2Fe_D_CONC_BOTTLE [nmol/kg]	L2Fe_D_LogK_BOTTLE	L1Cu_D_CONC_FISH [nmol/kg]	L1Cu_D_LogK_FISH	L1Fe_D_CONC_FISH [nmol/kg]	L1Fe_D_LogK_FISH	L2Fe_D_CONC_FISH [nmol/kg]	L2Fe_D_LogK_FISH	P_TP_CONC_BOTTLE [nmol P/kg]	P_TPL_CONC_BOTTLE [nmol P/kg]	Al_TP_CONC_BOTTLE [nmol/kg]	Al_TPL_CONC_BOTTLE [nmol/kg]	Al_TPR_CONC_BOTTLE [nmol/kg]	Cd_TP_CONC_BOTTLE [pmol/kg]	Cd_TPL_CONC_BOTTLE [pmol/kg]	Cd_TPR_CONC_BOTTLE [pmol/kg]	Co_TP_CONC_BOTTLE [pmol/kg]	Co_TPL_CONC_BOTTLE [pmol/kg]	Co_TPR_CONC_BOTTLE [pmol/kg]	Fe_TP_CONC_BOTTLE [nmol/kg]	Fe_TPL_CONC_BOTTLE [nmol/kg]	Fe_TPR_CONC_BOTTLE [nmol/kg]	Mn_TP_CONC_BOTTLE [nmol/kg]	Mn_TPL_CONC_BOTTLE [nmol/kg]	Mn_TPR_CONC_BOTTLE [nmol/kg]	P_TPR_CONC_BOTTLE [nmol/kg]	Ti_TP_CONC_BOTTLE [nmol/kg]	Ti_TPL_CONC_BOTTLE [nmol/kg]	Ti_TPR_CONC_BOTTLE [nmol/kg]	Ag_LPT_CONC_PUMP [pmol/kg]	Ag_SPT_CONC_PUMP [pmol/kg]	Al_LPT_CONC_PUMP [nmol/kg]	Al_SPT_CONC_PUMP [nmol/kg]	Ba_LPT_CONC_PUMP [pmol/kg]	Ba_SPT_CONC_PUMP [pmol/kg]	Cd_LPT_CONC_PUMP [pmol/kg]	Cd_SPT_CONC_PUMP [pmol/kg]	Co_LPT_CONC_PUMP [pmol/kg]	Co_SPT_CONC_PUMP [pmol/kg]	Cu_LPT_CONC_PUMP [pmol/kg]	Cu_SPT_CONC_PUMP [pmol/kg]	Fe_LPT_CONC_PUMP [nmol/kg]	Fe_SPT_CONC_PUMP [nmol/kg]	Mn_LPT_CONC_PUMP [nmol/kg]	Mn_SPT_CONC_PUMP [nmol/kg]	Ni_LPT_CONC_PUMP [pmol/kg]	Ni_SPT_CONC_PUMP [pmol/kg]	P_LPT_CONC_PUMP [nmol/kg]	P_SPT_CONC_PUMP [nmol/kg]	Pb_LPT_CONC_PUMP [pmol/kg]	Pb_SPT_CONC_PUMP [pmol/kg]	Th_LPT_CONC_PUMP [pmol/kg]	Th_SPT_CONC_PUMP [pmol/kg]	Ti_LPT_CONC_PUMP [pmol/kg]	Ti_SPT_CONC_PUMP [pmol/kg]	V_LPT_CONC_PUMP [pmol/kg]	V_SPT_CONC_PUMP [pmol/kg]	Y_LPT_CONC_PUMP [pmol/kg]	Y_SPT_CONC_PUMP [pmol/kg]	Nd_LPT_CONC_PUMP [pmol/kg]	Nd_SPT_CONC_PUMP [pmol/kg]	Pa_231_SPT_CONC_PUMP [uBq/kg]	Th_228_SPT_CONC_PUMP [uBq/kg]	Th_230_SPT_CONC_PUMP [uBq/kg]	Th_232_SPT_CONC_PUMP [pmol/kg]	Th_234_SPT_CONC_PUMP [mBq/kg]	Th_234_LPT_CONC_PUMP [mBq/kg]
S0090	GA03	KN204-1	Station 16	1646690	845942	26.1362	-44.826419999999985	39.7	3669	40	25.137	37.395	37.393002	1.714	1.093	0.143	1.17	1.679	6.612	205.800003	205.3	0	0.007707	0.19	0	0.029268	0	0.002341	NA	NA	NA	1.1	-14.3	0.546	NA	NA	13.93	NA	NA	NA	NA	NA	NA	NA	37.092682	42.299999	4e-4	15.609756	0.780488	0.8	0.253659	0.162	36.799999	0.585366	1.670244	NA	23.15	0.19	114.400002	14.2	16.059999	3.13	15.9	3.27	0.84	4.62	0.67	5.4	1.22	4.39	0.537	3.74	0.541	NA	18.530001	1.173	2.45	0.73	0.31	0.24	0.943704	3.583	1.433	1.610564	0.565204	43.902439	NA	0.026017	1.445561	0.442276	73.170731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	12.95	1.687805	12.57	0.702439	11.62	NA	NA	NA	NA	NA	NA	6.210381	4.898644	1.569561	0.203698	2.394683	0.195122	0.390244	NA	2.341463	1.960976	0.370732	0.696585	0.168107	0.674088	0.015902	0.017395	NA	1.470839	0.106439	4.39e-4	0.104732	0.01278	0.148293	1.404878	1.42439	15.707317	5.853659	0.059805	0.169756	0.211707	1.736585	2.565854	15.707317	0.467317	0.447805	0.010049	0.00882	6.526829	NA	2.009756	2.926829	0.058537	0.134634	0.014732	0.038829	53.560974	56.878048	11.02439	1.990244	0.153171	0.522927	0.118049	0.301463	NA	6.50439	NA	NA	2.050439	0.206537
S0091	GA03	KN204-1	Station 16	1646690	845945	26.1362	-44.826419999999985	60.7	3669	61.1	25.14	37.394001	37.393002	1.68	1.079	0.147	1.12	1.679	6.54	205.899994	205.9	0	0.008585	0.1	0	0.024293	0	0.002341	NA	NA	NA	1.14	-13.2	0.562	NA	NA	13.93	NA	NA	NA	NA	NA	NA	NA	35.209755	42.200001	0	20.487804	0.746341	0.75122	0.058537	0.23	33.5	0.878049	1.372195	NA	24.35	0.134634	115.099998	14.2	15.75	3.13	15.8	3.27	0.86	4.58	0.66	5.47	1.24	4.45	0.551	3.77	0.543	NA	18.559999	1.176	2.449	0.73	0.25	0.31	NA	NA	NA	NA	NA	38.536587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.395122	12.46	0.731707	11.43	NA	NA	NA	NA	NA	NA	6.210381	NA	1.569561	NA	NA	0.195122	NA	NA	2.341463	NA	NA	0.696585	NA	NA	0.015902	NA	NA	NA	0.106439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0092	GA03	KN204-1	Station 16	1646690	845948	26.1362	-44.826419999999985	89.9	3669	90.5	23.157	37.231998	37.227001	1.952	1.228	0.162	1.264	1.683	6.703	221.199997	221	0	0.00761	0	0	0.046829	0	0.030439	NA	NA	NA	1.02	-12.1	0.556	NA	NA	13.11	NA	NA	NA	NA	NA	NA	NA	30.634146	43.700001	0.009756	38.048782	0.780488	0.2	0.078049	0.188	38.099998	0.585366	1.057561	NA	26	0.217561	111.800003	12.2	10.55	2.54	13.3	2.74	0.74	4.16	0.6	5.14	1.17	4.36	0.526	3.82	0.536	NA	18.43	1.171	2.444	NA	0.3	-0.15	0.908752	2.84	1.55	1.572579	0.366316	41.463413	0	0.071544	1.426049	0.346341	162.601944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.341464	12.7	0.760976	12.47	0.995122	11.23	NA	NA	NA	NA	NA	NA	5.179054	5.877922	0.337171	0.17122	0.77358	0.292683	0.673171	0.078049	1.560976	2.17561	0.741463	0.40761	0.15722	0.358498	0.048098	0.06041	0.012488	2.33758	0.215717	2.05e-4	0.05001	0.003541	0.080293	0.916098	0.268293	6.839025	21.95122	0.066049	0.285854	0.164878	1.6	1.121951	8.614635	0.23122	0.121951	0.006566	0.036195	3.77561	2.507317	0.56878	2.887805	0.040098	0.266341	0.009424	0.009649	32.682926	12.390244	4.234147	1.034146	0.120976	0.156098	0.07639	0.066049	NA	6.50439	NA	NA	1.305658	0.349561
S0093	GA03	KN204-1	Station 16	1646690	845951	26.1362	-44.826419999999985	110.7	3669	111.5	21.995	37.106998	37.105	2.021	1.264	0.146	1.229	1.69	6.694	215.100006	214.4	0	0.014341	0	0.01	0.235902	0	0.066537	NA	NA	NA	0.81	-13.1	0.569	NA	NA	11.19	NA	NA	NA	NA	NA	NA	NA	27.697561	43.400002	8e-4	45.853661	0.8	0.23	0.009756	0.124	36.099998	0.585366	0.922439	NA	22.25	1.06	112.099998	12.1	9.88	2.49	13	2.7	0.73	4.12	0.58	5.16	1.18	4.38	0.538	3.77	0.533	NA	18.440001	1.177	2.447	NA	0.2	-0.14	1.013608	2.76	1.483	1.564982	0.320246	44.878048	0.00813	0.076422	1.403219	0.359349	182.114151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.341464	12.7	0.790244	12.3	0.819512	11.29	NA	NA	NA	NA	NA	NA	5.179054	5.877922	0.337171	0.17122	0.77358	0.292683	0.673171	0.078049	1.560976	2.17561	0.741463	0.40761	0.15722	0.358498	0.048098	0.06041	0.012488	2.33758	0.215717	2.05e-4	0.05001	0.003239	0.064585	0.676098	0.225366	7.053658	34.92683	0.050146	0.316098	0.154146	1.551219	1.063415	8.351219	0.303415	0.106341	0.007551	0.032	8.117073	1.453658	0.52878	1.804878	0.036683	0.22439	0.007229	0.009444	22.926828	10.536585	4.741463	1.131707	0.109268	0.207805	0.06361	0.094341	NA	3.251707	0.01927	0.008157	1.157756	0.373951
S0094	GA03	KN204-1	Station 16	1646690	845954	26.1362	-44.826419999999985	135.6	3669	136.5	20.682	36.972	36.964001	2.1	1.312	0.13	1.274	1.705	6.804	197	198.1	0	0.04361	0	0.52	0.932098	0.01	0.021463	NA	NA	NA	0.74	-12	0.56	NA	NA	2.67	NA	NA	NA	NA	NA	NA	NA	28.22439	42.5	0.0012	39.024391	0.834146	0.322927	0.029268	0.209	36	0.682927	0.451707	NA	19.700001	0.134634	112.900002	12.3	8.52	2.48	12.8	2.66	0.72	4.14	0.6	5.21	1.18	4.44	0.536	3.84	0.543	NA	18.42	1.177	2.447	NA	-0.01	0.37	NA	2.565	1.833	NA	NA	40.487804	0.003252	0.04878	1.380488	0.339837	112.195122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.726829	14.15	0.985366	12.62	1.004878	11.22	NA	NA	NA	NA	NA	NA	3.858117	NA	0.835902	NA	NA	0.195122	NA	NA	0.878049	NA	NA	0.442927	NA	NA	0.103512	NA	NA	NA	0.081737	NA	NA	0.003932	0.102439	0.656585	0.353171	9.95122	68.390244	0.049854	0.419512	0.138537	1.043902	1.02439	16	0.170732	0.12878	0.012683	0.058244	3.15122	3.873171	0.28878	2.146342	0.054829	0.245854	0.007268	0.014829	27.12195	13.463415	1.82439	0.965854	0.136585	1.707317	0.073171	0.132683	NA	4.878049	NA	NA	1.546342	0.504098
S0095	GA03	KN204-1	Station 16	1646690	845957	26.1362	-44.826419999999985	185.7	3669	187	18.979	36.719002	36.715	2.24	1.374	0.06	1.218	1.702	6.826	185.600006	184.8	0.1	0.19522	0.39	3.06	0.945756	0	0.00761	NA	NA	NA	0.59	-6.2	0.567	NA	NA	2.92	NA	NA	NA	NA	NA	NA	NA	27.063416	42.400002	0.011478	44.878048	0.82439	0.397073	0.029268	0.251	35.299999	0.682927	0.21122	NA	20.75	0.130488	122.099998	14.3	7.73	2.8	14.3	3.03	0.82	4.53	0.66	5.66	1.29	4.67	0.579	4.09	0.586	NA	18.32	1.173	2.449	0.325	0.2	0.48	1.170892	2.242	1.617	2.035996	0.282667	42.439026	0.001626	0.076422	1.357756	0.310569	128.455612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97561	12.61	0.604878	11.27	NA	NA	NA	NA	NA	NA	2.397873	NA	2.705854	NA	NA	0.097561	NA	NA	0.878049	NA	NA	0.857073	NA	NA	0.097268	NA	NA	NA	0.113834	NA	NA	0.004215	0.092683	0.852683	1.073171	18.341463	153.170746	0.020195	0.242927	0.131707	0.592195	1.219512	17.463415	0.209756	0.349268	0.019415	0.070341	3.24878	5.658536	0.170732	1.092683	0.068293	0.285854	0.009288	0.026829	30.146341	59.219513	2.370732	2.292683	0.169756	0.313171	0.085171	0.164878	0.001875	8.129756	0.060035	0.025605	1.551219	0.414634
S0096	GA03	KN204-1	Station 16	1646690	845960	26.1362	-44.826419999999985	234.8	3669	236.5	17.948	36.553001	36.546001	2.353	1.455	0.029	1.222	1.704	6.87	190.100006	190.1	0.23	NA	0.97	4.98	NA	0	NA	NA	NA	NA	0.54	-4.3	0.543	NA	NA	2.735	NA	NA	NA	NA	NA	NA	NA	32.468292	42.900002	0.023206	48.780487	0.878049	0.431707	0.009756	0.263	39.599998	0.780488	0.159512	NA	21.65	0.162927	122.400002	14.8	6.77	2.91	14.9	3.21	0.85	4.79	0.69	5.86	1.32	4.78	0.59	4.21	0.606	NA	18.290001	1.177	2.447	0.26	0.4	0.19	1.083512	2.403	0.983	2.58298	0.358085	46.507317	0.001626	0.039024	1.365854	0.185366	108.94342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.258537	13.9	0.887805	12.27	0.565854	11.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003024	0.091805	0.847805	2.614634	13.658537	160.975616	0.015317	0.212683	0.132683	0.796098	1.141463	19.024389	0.212683	0.743415	0.013171	0.068976	2.380488	4.565854	0.403902	1.02439	0.06	0.659512	0.009044	0.061756	30.146341	103.414627	0.985366	4.507317	0.136585	0.570732	0.075317	0.356098	NA	11.382439	NA	NA	1.403219	0.297561
S0097	GA03	KN204-1	Station 16	1646690	845963	26.1362	-44.826419999999985	284.8	3669	286.9	17.261	36.43	36.429001	2.38	1.438	0.034	1.235	1.705	6.906	195.399994	194.7	0.27	NA	1.07	5.66	NA	0	NA	NA	NA	NA	0.58	-3.8	0.56	NA	NA	2.98	NA	NA	NA	NA	NA	NA	NA	29.278049	43.700001	0.036712	47.804878	0.936585	0.385	0.009756	0.204	38.900002	0.878049	0.146829	NA	21.799999	0.163415	122.5	15.1	6.35	3	15.1	3.3	0.85	4.9	0.69	5.78	1.33	4.78	0.589	4.2	0.6	NA	18.32	1.177	2.447	0.275	0.33	0.32	NA	NA	NA	NA	NA	42.117073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.829268	12.11	0	0	NA	NA	NA	NA	NA	NA	1.594917	NA	4.71239	NA	NA	0.097561	NA	NA	1.268293	NA	NA	1.305951	NA	NA	0.089561	NA	NA	NA	0.178761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0105	GA03	KN204-1	Station 14	1646606	845645	27.583	-49.63290000000001	40.1	4423	40.4	25.357	36.911999	36.911999	1.706	1.065	0.153	1.15	1.682	6.57	205.300003	204.9	0	0.00722	0.39	0	0.041659	0	NA	NA	NA	NA	1	-16.200001	0.574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.292683	44.400002	0.005078	16.585365	0.829268	0.943902	NA	0.201	44.799999	0.780488	2.244878	NA	24.799999	0.118293	122.5	15.5	17.450001	3.37	16.700001	3.54	0.92	5.05	0.72	5.78	1.32	4.7	0.576	3.99	0.567	NA	18.17	1.175	2.449	NA	0.51	-0.14	1.083512	NA	NA	2.013205	0.487545	38.048782	0.003252	0.177236	1.525171	0.364227	165.853653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2.604878	11.98	NA	NA	NA	NA	NA	NA	NA	4.795483	NA	0.122176	1.130176	NA	0.107317	NA	NA	1.785366	0.331707	NA	0.108849	0.451015	NA	0.01518	0.001044	0.321483	NA	NA	0.027785	0.006966	0.161951	0.523902	1.063415	13.365854	4.946342	0.088488	0.193171	0.155122	1.6	1.843902	23.707317	0.566829	0.361951	0.004361	0.013756000000000001	6.107317	11.317073	0.481951	4.907317	0.043512	0.253659	0.006859	0.022146	21.560976	34.731709	5.004878	1.668293	0.073854	0.400976	0.055415	0.219512	NA	8.129756	NA	NA	2.104098	0.173951
S0106	GA03	KN204-1	Station 14	1646606	845648	27.583	-49.63290000000001	69.4	4423	69.9	23.437	37.025002	37.028999	2.002	1.242	0.165	1.27	1.688	6.743	231.899994	231.7	0	0.006537	0.19	0	0.03522	0	6.83e-4	NA	NA	NA	0.91	-15.6	0.554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.263416	43.099998	1.5e-4	31.219513	0.790244	0.289756	0.195122	0.181	41.099998	0.585366	1.236585	NA	20.1	0.053537	114.800003	13	11.76	2.64	13.5	2.81	0.77	4.24	0.61	5.2	1.2	4.39	0.539	3.82	0.532	NA	NA	1.174	2.448	NA	0.49	0.27	0.8738	NA	NA	1.268699	0.290036	41.297562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.288918	NA	2.263317	NA	NA	0.292683	NA	NA	3.219512	NA	NA	0.622439	NA	NA	0.10078	NA	NA	NA	0.075844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0107	GA03	KN204-1	Station 14	1646606	845651	27.583	-49.63290000000001	99	4423	99.7	21.882	37.042	37.034	2.052	1.274	0.154	1.276	1.677	6.748	213.800003	216.4	0	0.006927	0.1	0.01	0.03639	0.02	0.008293	NA	NA	NA	0.85	-13.5	0.537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.804878	43.700001	0.005028	34.146343	0.741463	0.197073	0.214634	0.131	40.900002	0.487805	1.141463	NA	23.200001	0.079024	116.199997	13.4	12.16	2.79	14.1	2.93	0.79	4.37	0.63	5.28	1.22	4.43	0.545	3.82	0.54	NA	NA	1.172	2.446	1.355	0.5	-0.22	0.891276	NA	NA	1.382654	0.281719	43.414635	0.003252	0.107317	1.432488	0.419512	143.089767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.985366	13.35	1.209756	12.11	1.121951	11.15	NA	NA	NA	NA	NA	NA	3.295278	3.652107	0	0.095649	0.467415	0.097561	0.253659	NA	1.073171	1.414634	0.273171	0.151122	0.061405	0.221629	0.034829	0.047717	6.93e-4	0.7188	0.00239	7.80487826e-5	0.01519	0.002722	0.154146	0.360976	0.407805	14.048781	46.341465	0.064878	0.478049	0.105366	2.692683	0.869268	17.756098	0.099512	0.17561	0.007356	0.097561	2.604878	18.146341	0.387317	6.995122	0.033659	0.533659	0.004468	0.010537	13.853659	17.95122	1.317073	2.429268	0.04361	0.247805	0.028878	0.114146	NA	8.129756	NA	NA	1.583707	0.287805
