/* DATA DESCRIPTION:
	TARA_010 * LATITUDE: 40.668400 * LONGITUDE: 2.865300 * DATE/TIME START: 2009-09-30T00:00:00 * DATE/TIME END: 2009-09-30T00:00:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_011 * LATITUDE: 41.665900 * LONGITUDE: 2.797800 * DATE/TIME START: 2009-10-04T00:00:00 * DATE/TIME END: 2009-10-04T00:00:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_012 * LATITUDE: 43.347700 * LONGITUDE: 7.898600 * DATE/TIME START: 2009-10-11T00:00:00 * DATE/TIME END: 2009-10-11T00:00:00 * CAMPAIGN: TARA_20091011Z (Nice to Bizerte, Stations: TARA_012-013) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_013 * LATITUDE: 37.987100 * LONGITUDE: 8.067800 * DATE/TIME START: 2009-10-14T00:00:00 * DATE/TIME END: 2009-10-14T00:00:00 * CAMPAIGN: TARA_20091011Z (Nice to Bizerte, Stations: TARA_012-013) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_014 * LATITUDE: 39.902400 * LONGITUDE: 12.858500 * DATE/TIME START: 2009-10-20T00:00:00 * DATE/TIME END: 2009-10-20T00:00:00 * CAMPAIGN: TARA_20091019Z (Bizerte to Naples, Stations: TARA_014) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_015 * LATITUDE: 38.932700 * LONGITUDE: 14.529700 * DATE/TIME START: 2009-10-25T00:00:00 * DATE/TIME END: 2009-10-26T00:00:00 * CAMPAIGN: TARA_20091025Z (Naples to Valetta, Stations: TARA_015-017) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_016 * LATITUDE: 37.398100 * LONGITUDE: 15.454100 * DATE/TIME START: 2009-10-27T00:00:00 * DATE/TIME END: 2009-10-27T00:00:00 * CAMPAIGN: TARA_20091025Z (Naples to Valetta, Stations: TARA_015-017) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_017 * LATITUDE: 36.257600 * LONGITUDE: 14.305800 * DATE/TIME START: 2009-10-28T00:00:00 * DATE/TIME END: 2009-10-28T00:00:00 * CAMPAIGN: TARA_20091025Z (Naples to Valetta, Stations: TARA_015-017) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_018 * LATITUDE: 35.755700 * LONGITUDE: 14.287500 * DATE/TIME START: 2009-11-02T00:00:00 * DATE/TIME END: 2009-11-02T00:00:00 * CAMPAIGN: TARA_20091031Z (Valetta to Tripoli, Stations: TARA_018) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_019 * LATITUDE: 34.215500 * LONGITUDE: 13.865000 * DATE/TIME START: 2009-11-11T00:00:00 * DATE/TIME END: 2009-11-11T00:00:00 * CAMPAIGN: TARA_20091108Z (Tripoli to Valetta, Stations: TARA_019) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_020 * LATITUDE: 34.451200 * LONGITUDE: 14.973200 * DATE/TIME START: 2009-11-12T00:00:00 * DATE/TIME END: 2009-11-12T00:00:00 * CAMPAIGN: TARA_20091111Z (Valetta to Dubrovnik, Stations: TARA_020-024) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_021 * LATITUDE: 37.510600 * LONGITUDE: 17.284500 * DATE/TIME START: 2009-11-15T00:00:00 * DATE/TIME END: 2009-11-15T00:00:00 * CAMPAIGN: TARA_20091111Z (Valetta to Dubrovnik, Stations: TARA_020-024) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_022 * LATITUDE: 39.729400 * LONGITUDE: 17.400300 * DATE/TIME START: 2009-11-16T00:00:00 * DATE/TIME END: 2009-11-16T00:00:00 * CAMPAIGN: TARA_20091111Z (Valetta to Dubrovnik, Stations: TARA_020-024) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_023 * LATITUDE: 42.176000 * LONGITUDE: 17.728900 * DATE/TIME START: 2009-11-18T00:00:00 * DATE/TIME END: 2009-11-18T00:00:00 * CAMPAIGN: TARA_20091111Z (Valetta to Dubrovnik, Stations: TARA_020-024) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_024 * LATITUDE: 42.457400 * LONGITUDE: 17.955700 * DATE/TIME START: 2009-11-21T00:00:00 * DATE/TIME END: 2009-11-21T00:00:00 * CAMPAIGN: TARA_20091111Z (Valetta to Dubrovnik, Stations: TARA_020-024) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_025 * LATITUDE: 39.332900 * LONGITUDE: 19.420600 * DATE/TIME START: 2009-11-23T00:00:00 * DATE/TIME END: 2009-11-23T00:00:00 * CAMPAIGN: TARA_20091122Z (Dubrovnik to Athens, Stations: TARA_025-026) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_026 * LATITUDE: 38.430700 * LONGITUDE: 20.188100 * DATE/TIME START: 2009-11-24T00:00:00 * DATE/TIME END: 2009-11-24T00:00:00 * CAMPAIGN: TARA_20091122Z (Dubrovnik to Athens, Stations: TARA_025-026) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_027 * LATITUDE: 34.094500 * LONGITUDE: 32.933800 * DATE/TIME START: 2009-12-04T00:00:00 * DATE/TIME END: 2009-12-04T00:00:00 * CAMPAIGN: TARA_20091128Z (Athens to Beyrouth, Stations: TARA_027-028) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
