sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Cu_D_CONC_BOTTLE [nmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]
S0252	GP13	TAN1109-2 - GP13 Leg2	7016	1877228	1155512	-32.4798	-159.008	101	5247	101.7	18.154	35.452999	NA	NA	220.6000	NA	0.75122	0.019512	0.0105	0.48	0.089	0.73	1.870000	11.41	0.08
S0415	GP13	SS2011-1 - GP13 Leg1	Station 26	1899628	1222577	-31.5988	178	NA	3805	15.2	20.695	35.549	NA	NA	NA	0.039024	0.97561	0.019512	NA	NA	NA	NA	NA	NA	NA
S0416	GP13	SS2011-1 - GP13 Leg1	Station 26	1899628	1222574	-31.5988	178	NA	3805	30	20.679	35.601002	NA	NA	NA	0.039024	0.965854	0.019512	NA	NA	NA	NA	NA	NA	NA
S0417	GP13	SS2011-1 - GP13 Leg1	Station 26	1899628	1222571	-31.5988	178	NA	3805	51.2	20.671	35.610001	35.599998	199.756104	NA	0.039024	0.956098	0.019512	NA	NA	NA	NA	NA	NA	NA
S0418	GP13	SS2011-1 - GP13 Leg1	Station 26	1899628	1222601	-31.5988	178	NA	3805	74.1	20.616	35.624001	NA	NA	NA	0.058537	0.946341	0.029268	NA	NA	NA	NA	NA	NA	NA
S0419	GP13	SS2011-1 - GP13 Leg1	Station 26	1899628	1222598	-31.5988	178	NA	3805	99.8	18.63	35.577999	NA	NA	NA	0.185366	1.346341	1.414634	NA	NA	NA	NA	NA	NA	NA
S0301	GP13	SS2011-1 - GP13 Leg1	Station 2	1899453	1223459	-30.0019	154.004	NA	3500	15.5	23.49	35.571999	NA	NA	NA	0.068293	0.897561	0.019512	NA	NA	NA	NA	NA	NA	NA
S0302	GP13	SS2011-1 - GP13 Leg1	Station 2	1899453	1223453	-30.0019	154.004	NA	3500	30.8	23.485	35.571999	NA	NA	NA	0.068293	0.897561	0.019512	NA	NA	NA	NA	NA	NA	NA
S0303	GP13	SS2011-1 - GP13 Leg1	Station 2	1899453	1223447	-30.0019	154.004	NA	3500	51.7	23.501	35.571999	NA	NA	NA	0.058537	0.868293	0.019512	NA	NA	NA	NA	NA	NA	NA
S0304	GP13	SS2011-1 - GP13 Leg1	Station 2	1899453	1223486	-30.0019	154.004	NA	3500	75.2	23.51	35.571999	NA	NA	NA	0.058537	0.878049	0.019512	NA	NA	NA	NA	NA	NA	NA
S0305	GP13	SS2011-1 - GP13 Leg1	Station 2	1899453	1223483	-30.0019	154.004	NA	3500	99	23.512	35.570999	NA	NA	NA	0.058537	0.858537	0.019512	NA	NA	NA	NA	NA	NA	NA
S0291	GP13	SS2011-1 - GP13 Leg1	Station 22	1899607	1222409	-30.0013	174.00101	NA	3267	14.9	21.519	35.577	NA	NA	NA	0.04878	0.780488	0.019512	NA	NA	NA	NA	NA	NA	NA
S0292	GP13	SS2011-1 - GP13 Leg1	Station 22	1899607	1222406	-30.0013	174.00101	NA	3267	30.1	21.417	35.608002	NA	NA	NA	0.04878	0.809756	0.019512	NA	NA	NA	NA	NA	NA	NA
S0293	GP13	SS2011-1 - GP13 Leg1	Station 22	1899607	1222400	-30.0013	174.00101	NA	3267	50.4	21.139	35.631001	35.622002	220.702438	NA	0.068293	0.858537	0.04878	NA	NA	NA	NA	NA	NA	NA
S0309	GP13	SS2011-1 - GP13 Leg1	Station 22	1899607	1222397	-30.0013	174.00101	NA	3267	75.1	20.415	35.625	NA	NA	NA	0.146341	1.034146	1.063415	NA	NA	NA	NA	NA	NA	NA
S0310	GP13	SS2011-1 - GP13 Leg1	Station 22	1899607	1222430	-30.0013	174.00101	NA	3267	100.4	19.143	35.576	NA	NA	NA	0.253659	1.356098	2.653658	NA	NA	NA	NA	NA	NA	NA
S0306	GP13	SS2011-1 - GP13 Leg1	Station 4	1899467	1223552	-30.0006	155.98599	NA	4700	15.4	21.934	35.598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0307	GP13	SS2011-1 - GP13 Leg1	Station 4	1899467	1222814	-30.0006	155.98599	NA	4700	30.9	21.934	35.598	NA	NA	NA	0.058537	0.790244	0.019512	NA	NA	NA	NA	NA	NA	NA
S0308	GP13	SS2011-1 - GP13 Leg1	Station 4	1899467	1223543	-30.0006	155.98599	NA	4700	50.6	21.906	35.598	NA	NA	NA	0.058537	0.790244	0.019512	NA	NA	NA	NA	NA	NA	NA
S0289	GP13	SS2011-1 - GP13 Leg1	Station 4	1899467	1222811	-30.0006	155.98599	NA	4700	74.5	21.756	35.605	35.612	214.41951	NA	0.058537	0.829268	0.029268	NA	NA	NA	NA	NA	NA	NA
S0290	GP13	SS2011-1 - GP13 Leg1	Station 4	1899467	1223579	-30.0006	155.98599	NA	4700	100.9	21.308	35.598	NA	NA	NA	0.136585	0.878049	1.034146	NA	NA	NA	NA	NA	NA	NA
S0268	GP13	SS2011-1 - GP13 Leg1	Station 11	1899523	1223804	-30.0006	162.998	NA	1216	16.1	21.925	35.653	NA	NA	NA	0.039024	0.956098	0.029268	NA	NA	NA	NA	NA	NA	NA
S0269	GP13	SS2011-1 - GP13 Leg1	Station 11	1899523	1223798	-30.0006	162.998	NA	1216	29.9	21.925	35.652	NA	NA	NA	0.058537	0.936585	0.019512	NA	NA	NA	NA	NA	NA	NA
S0270	GP13	SS2011-1 - GP13 Leg1	Station 11	1899523	1223792	-30.0006	162.998	NA	1216	51.3	21.93	35.652	35.646	215.717072	NA	0.039024	0.897561	0.019512	NA	NA	NA	NA	NA	NA	NA
S0271	GP13	SS2011-1 - GP13 Leg1	Station 11	1899523	1223834	-30.0006	162.998	NA	1216	74	21.93	35.652	NA	NA	NA	0.058537	0.926829	0.029268	NA	NA	NA	NA	NA	NA	NA
S0272	GP13	SS2011-1 - GP13 Leg1	Station 11	1899523	1223831	-30.0006	162.998	NA	1216	100.8	21.923	35.648998	NA	NA	NA	0.04878	0.926829	0.029268	NA	NA	NA	NA	NA	NA	NA
S0311	GP13	SS2011-1 - GP13 Leg1	Station 24	1899614	1222499	-30.0002	175.98	NA	4261	15.6	21.604	35.630001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0312	GP13	SS2011-1 - GP13 Leg1	Station 24	1899614	1222496	-30.0002	175.98	NA	4261	30.6	21.607	35.629002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0313	GP13	SS2011-1 - GP13 Leg1	Station 24	1899614	1222490	-30.0002	175.98	NA	4261	50.3	21.616	35.632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0314	GP13	SS2011-1 - GP13 Leg1	Station 24	1899614	1222487	-30.0002	175.98	NA	4261	74.5	21.623	35.640999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0315	GP13	SS2011-1 - GP13 Leg1	Station 24	1899614	1222523	-30.0002	175.98	NA	4261	99.7	20.352	35.667999	NA	NA	NA	0.117073	0.839024	0.331707	NA	NA	NA	NA	NA	NA	NA
S0273	GP13	SS2011-1 - GP13 Leg1	Station 15	1899558	1223984	-30	166.987	NA	2838	13.8	22.166	35.664001	NA	NA	NA	0.039024	0.790244	0.019512	NA	NA	NA	NA	NA	NA	NA
S0274	GP13	SS2011-1 - GP13 Leg1	Station 15	1899558	1223981	-30	166.987	NA	2838	30.8	22.166	35.664001	NA	NA	NA	0.019512	0.790244	0.019512	NA	NA	NA	NA	NA	NA	NA
S0275	GP13	SS2011-1 - GP13 Leg1	Station 15	1899558	1223978	-30	166.987	NA	2838	51.1	22.172	35.662998	35.653999	215.570724	NA	0.039024	0.8	0.019512	NA	NA	NA	NA	NA	NA	NA
S0276	GP13	SS2011-1 - GP13 Leg1	Station 15	1899558	1224011	-30	166.987	NA	2838	74.8	21.918	35.650002	NA	NA	NA	0.068293	0.858537	0.282927	NA	NA	NA	NA	NA	NA	NA
S0277	GP13	SS2011-1 - GP13 Leg1	Station 15	1899558	1224008	-30	166.987	NA	2838	101.7	20.242	35.612	NA	NA	NA	0.243902	1.219512	2.634146	NA	NA	NA	NA	NA	NA	NA
S0263	GP13	SS2011-1 - GP13 Leg1	Station 7	1899495	1223669	-29.9999	159	NA	1760	15.5	22.027	35.623001	NA	NA	NA	0.058537	0.926829	0.136585	NA	NA	NA	NA	NA	NA	NA
S0264	GP13	SS2011-1 - GP13 Leg1	Station 7	1899495	1223666	-29.9999	159	NA	1760	30	22.035	35.623001	NA	NA	NA	0.058537	0.897561	0.126829	NA	NA	NA	NA	NA	NA	NA
S0265	GP13	SS2011-1 - GP13 Leg1	Station 7	1899495	1223663	-29.9999	159	NA	1760	50.6	22.043	35.622002	35.612999	214.321945	NA	0.04878	0.887805	0.126829	NA	NA	NA	NA	NA	NA	NA
S0266	GP13	SS2011-1 - GP13 Leg1	Station 7	1899495	1222871	-29.9999	159	NA	1760	78	22.018	35.617001	NA	NA	NA	0.058537	0.887805	0.146341	NA	NA	NA	NA	NA	NA	NA
S0267	GP13	SS2011-1 - GP13 Leg1	Station 7	1899495	1223687	-29.9999	159	NA	1760	101	22.015	35.616001	NA	NA	NA	0.058537	0.887805	0.146341	NA	NA	NA	NA	NA	NA	NA
S0278	GP13	SS2011-1 - GP13 Leg1	Station 19	1899306	1222262	-29.9997	171	NA	2203	15.1	21.381	35.66	NA	NA	NA	0.058537	0.907317	0.029268	NA	NA	NA	NA	NA	NA	NA
S0279	GP13	SS2011-1 - GP13 Leg1	Station 19	1899306	1222256	-29.9997	171	NA	2203	30.7	21.385	35.660999	NA	NA	NA	0.068293	0.907317	0.039024	NA	NA	NA	NA	NA	NA	NA
S0280	GP13	SS2011-1 - GP13 Leg1	Station 19	1899306	1222250	-29.9997	171	NA	2203	50.4	21.387	35.659	35.648998	217.941467	NA	0.068293	0.897561	0.039024	NA	NA	NA	NA	NA	NA	NA
S0281	GP13	SS2011-1 - GP13 Leg1	Station 19	1899306	1222292	-29.9997	171	NA	2203	75.4	21.391	35.659	NA	NA	NA	0.078049	0.917073	0.039024	NA	NA	NA	NA	NA	NA	NA
S0282	GP13	SS2011-1 - GP13 Leg1	Station 19	1899306	1222289	-29.9997	171	NA	2203	100.5	21.381	35.655998	NA	NA	NA	0.068293	0.897561	0.04878	NA	NA	NA	NA	NA	NA	NA
S0299	GP13	SS2011-1 - GP13 Leg1	Station 1	1899187	1223384	-29.9982	153.50101	NA	89	15	23.28	35.506001	35.495998	209.112198	NA	0.039024	1.004878	0.068293	NA	NA	NA	NA	NA	NA	NA
S0300	GP13	SS2011-1 - GP13 Leg1	Station 1	1899187	1223423	-29.9982	153.50101	NA	89	49.8	23.305	35.504002	35.493999	208.653656	NA	0.04878	0.995122	0.078049	NA	NA	NA	NA	NA	NA	NA
