Campaign	Station	Date/Time	Date/Time 2	Latitude	Longitude	Sampling	Depth, nominal (corresponding to a surface wa...)	Depth, nominal (corresponding to a deep chlor...)	Depth, nominal (corresponding to a layer with...)	Depth, nominal (corresponding to a mesopelagi...)	Depth, nominal (corresponding to an oxygen mi...)
TARA_20130907Z	TARA_196	2013-09-14T00:00	2013-09-15T00:00	71.895	-154.934	2	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20130907Z	TARA_197	2013-09-15T00:00	2013-09-16T00:00	71.336	-148.662	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20130907Z	TARA_198	2013-09-16T00:00	2013-09-16T00:00	71.474	-141.884	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20130907Z	TARA_199	2013-09-17T00:00	2013-09-17T00:00	70.396	-140.334	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20130921Z	TARA_200	2013-09-27T00:00	2013-09-27T00:00	71.986	-93.543	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20130921Z	TARA_201	2013-09-29T00:00	2013-10-01T00:00	74.329	-85.729	3	5 m	35 & 36 m	not sampled	441 m	not sampled
TARA_20130921Z	TARA_202	2013-10-03T00:00	2013-10-03T00:00	73.117	-85.053	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20130921Z	TARA_203	2013-10-04T00:00	2013-10-05T00:00	73.070	-80.364	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20130921Z	TARA_204	2013-10-06T00:00	2013-10-06T00:00	72.676	-78.443	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20130921Z	TARA_205	2013-10-08T00:00	2013-10-08T00:00	72.423	-71.952	3	5 m	not sampled	not sampled	491 m	not sampled
TARA_20130921Z	TARA_206	2013-10-11T00:00	2013-10-13T00:00	70.939	-53.622	3	5 m	not sampled	not sampled	411 m	not sampled
TARA_20130921Z	TARA_207	2013-10-15T00:00	2013-10-15T00:00	69.207	-52.852	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20131020Z	TARA_208	2013-10-20T00:00	2013-10-20T00:00	69.107	-51.578	2	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20131020Z	TARA_209	2013-10-23T00:00	2013-10-23T00:00	64.728	-53.467	3	5 m	not sampled	not sampled	351 m	not sampled
TARA_20131020Z	TARA_210	2013-10-27T00:00	2013-10-27T00:00	61.544	-55.985	3	5 m	not sampled	not sampled	390 m	not sampled
