sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	TN_T_CONC_BOTTLE [umol/kg]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	Al_D_CONC_BOTTLE [nmol/kg]	Ba_D_CONC_BOTTLE [nmol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Mo_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	U_D_CONC_BOTTLE [nmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	Y_D_CONC_BOTTLE [pmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Nd_143_144_D_EPSILON_BOTTLE [per 10000]	Cd_114_110_D_DELTA_BOTTLE [per mil]	Pa_231_D_CONC_BOTTLE [uBq/kg]	Th_230_D_CONC_BOTTLE [uBq/kg]	Th_232_D_CONC_BOTTLE [pmol/kg]	Th_234_T_CONC_BOTTLE [mBq/kg]	Th_234_LPT_CONC_PUMP [mBq/kg]
S0193	GA02	JC057	014	1629799	638696	-12.894	-29.227289999999982	149	5407	149.9	22.82	36.896999	NA	1.788	1.158	NA	201.8	0.18	0.69	0	0.04	2421	2108.399902	NA	NA	5.89	0.78	5.619512	41.574635	0.0021	33.960976	0.94	1.180488	146.916107	5.09	16.389999	13.205854	2.93	90.080002	12.61	NA	NA	NA	NA	NA	NA	40.819511	0.592195
S0196	GA02	JC057	015	1629820	638855	-9.15415	-28	10	5628	10.1	28.78	36.686001	36.687	1.399	0.94	194	193.2	0.06	0.36	0	0.01	2406.699951	2055.100098	NA	NA	6.79	0.86	14.107317	44.672195	0.0025	26.190245	0.17	1.697561	147.536591	2.39	19.889999	13.242927	0.22	103.639999	17.299999	NA	NA	NA	NA	NA	NA	39.151218	NA
S0197	GA02	JC057	015	1629820	638849	-9.15415	-28	50	5628	50.3	28.091	36.817001	NA	1.433	0.967	NA	198.5	0.06	0.26	0	0.01	2410.100098	2056.399902	NA	NA	7.09	0.86	14.097561	41.005856	0.0016	NA	0.18	1.658537	146.98732	2.31	16.389999	13.000976	0.06	100.730003	16.629999	NA	NA	NA	NA	NA	NA	34.439026	NA
S0198	GA02	JC057	015	1629820	638840	-9.15415	-28	135	5628	135.8	21.683	36.534	NA	NA	NA	NA	189.2	0.27	0.57	0.68	0.11	2405	2106.600098	NA	NA	4.75	0.53	6.731707	42.732681	0.0093	38.453659	1.38	1.307317	146.600983	2.57	16.48	13.062439	2.71	96.260002	15.05	NA	NA	NA	NA	NA	NA	36.487804	NA
S0199	GA02	JC057	016	1629841	638927	-5.677	-28.460109999999986	10	5549	10.1	28.884	36.296001	36.300999	1.367	0.939	196	193.7	0.08	0.31	0	0.02	2380.100098	2035.800049	191.219513	NA	7.32	0.85	16.029268	42.398048	0.0037	25.843903	0.15	1.64878	138.334625	2.29	20.1	13.308293	0.39	105.309998	18.33	NA	NA	NA	NA	NA	NA	37.52195	NA
S0200	GA02	JC057	016	1629841	638921	-5.677	-28.460109999999986	50	5549	50.3	28.668	36.443001	36.452999	1.357	0.936	NA	195.4	0.09	0.2	0	0.02	2386.800049	2042.800049	160	NA	7.36	0.89	14.926829	42.213657	0.0019	NA	0.11	1.560976	136.229263	2.29	17.57	12.952195	0.07	102.699997	17.129999	NA	NA	NA	NA	NA	NA	39.785366	NA
S0201	GA02	JC057	016	1629841	638912	-5.677	-28.460109999999986	149	5549	149.9	15.556	35.613998	NA	1.982	1.165	NA	110	1.25	5.42	18.83	0.04	2334.699951	2180.199951	NA	NA	2.25	0.31	4.741463	40.785366	0.1164	NA	0.26	0.565854	134.520981	3.16	15.25	12.632195	0.12	99.739998	16.950001	NA	NA	NA	NA	NA	NA	38.20488	NA
S0202	GA02	JC057	017	1629869	639206	-2.65115	-28.9169	10	4908	10.1	28.778	35.709999	35.740002	1.418	0.964	198.100006	197.8	0.06	0.21	0	0.02	2335.899902	2010.199951	170.731705	NA	6.55	0.83	18.565853	44.003902	0.0026	31.760977	0.15	1.639024	136.279999	2.38	22.940001	12.554146	0.4	104.699997	19.32	NA	NA	0.421	NA	NA	NA	31.990244	NA
S0203	GA02	JC057	017	1629869	639200	-2.65115	-28.9169	65	4908	65.4	21.077	35.945999	NA	1.78	1.147	190.899994	159	0.59	2.45	5.75	0.26	2356	2125.699951	143.414627	NA	6.34	0.88	9.941463	43.215611	0.0041	65.141464	0.08	1.463415	136.270233	2.31	14.11	13.034146	0.06	97.550003	15.77	NA	NA	0.683	NA	NA	NA	23.239023	1.177171
S0204	GA02	JC057	017	1629869	639191	-2.65115	-28.9169	149	4908	149.9	13.463	35.334	NA	2.046	1.206	NA	124	1.31	6.89	19.98	0.02	2306.600098	2176.399902	NA	NA	1.61	0.26	6.039024	43.272194	0.2116	69.595123	0.83	0.204878	137.490723	3.58	16.9	12.915122	0.28	103.900002	17.18	NA	NA	NA	NA	NA	NA	42.331707	0.375707
S0205	GA02	JC057	018	1629883	639422	-0.18715	-32.87810999999999	9	4354	9	28.609	35.691002	NA	1.393	0.942	197.199997	197.3	0.05	0.27	0	0.02	2337.600098	2002.599976	68.292686	NA	6.76	0.79	20.4	41.297562	0.00185	20.624389999999998	0.34	1.629268	134.21658300000001	2.14	20.58	12.902439	3.49	105.470001	19.09	NA	NA	0.6	0.682927	1.707317	0.310882	34.760975	NA
S0206	GA02	JC057	018	1629883	639416	-0.18715	-32.87810999999999	61	4354	61.3	25.824	36.5	36.501999	1.632	1.05	191	194.3	0.12	0.48	0	0.06	2388.399902	2063.699951	69.268295	NA	6.75	0.83	13.687805000000001	43.343414	0.0014	27.756098	0.09	1.346341	138.151215	2.28	15.66	13.148293	0.03	101.160004	15.93	NA	NA	NA	NA	NA	NA	31.346342	NA
S0207	GA02	JC057	018	1629883	639407	-0.18715	-32.87810999999999	150	4354	150.9	14.031	35.384998	NA	2.284	1.363	NA	162.5	0.98	5.13	14.43	0.02	2325.600098	2146.899902	122.926826	NA	1.49	0.23	4.682927	45.176586	0.1421	53.453659	1.07	0.234146	131.206833	3.46	16.93	12.840976	0.27	99.389999	15.14	NA	NA	NA	NA	NA	NA	38.546341	NA
S0039	GA02	PE321	035	1609114	634616	9.5459	-50.46859999999998	9	4787	9.1	28.629	35.727001	NA	2.223	1.394	NA	193.5	0.01	1.1	0	0.01	2343.5	1993.900024	74.926826	5.073171	NA	NA	32.039024	NA	0.0016	17.521952	0.76	2.253659	NA	1.95	17.610001	NA	0.04	126.830002	21.91	NA	NA	NA	NA	NA	NA	32.878048	NA
S0040	GA02	PE321	035	1609114	634607	9.5459	-50.46859999999998	72	4787	72.4	27.942	36.241001	NA	NA	NA	NA	198	0.01	1.1	0	0.02	2380.399902	2018.099976	82.634148	5.756098	NA	NA	27.668293	NA	0.0013	18.312195	0.33	2.068293	NA	1.98	18.42	NA	0.01	129.149994	19.24	NA	NA	NA	NA	NA	NA	38.048782	NA
S0041	GA02	PE321	035	1609114	634604	9.5459	-50.46859999999998	100	4787	100.6	26.258	36.278999	NA	1.557	1.049	NA	185.1	0.03	1.2	0.1	0.3	2380.899902	2056.300049	68.585365	5.658536	NA	NA	27.560976	NA	0.0023	NA	0.14	1.756098	NA	1.98	16.98	NA	0.09	119.040001	16.42	NA	NA	NA	NA	NA	NA	33.951221	NA
S0042	GA02	PE321	035	1609114	634601	9.5459	-50.46859999999998	151	4787	151.9	18.286	36.381001	NA	NA	NA	NA	116.1	0.7	3.5	12.4	0.03	2385.300049	2177	NA	NA	NA	NA	15.219512	NA	0.1236	64.360977	0.59	0.331707	NA	3.03	18.35	NA	0.12	119.309998	18.040001	NA	NA	NA	NA	NA	NA	41.463413	NA
S0043	GA02	PE321	035	1609114	634598	9.5459	-50.46859999999998	201	4787	202.2	11.985	35.287998	NA	1.613	0.913	NA	96.1	1.56	9.8	25.200001	0.02	2326.699951	2203.300049	NA	NA	NA	NA	9.6	NA	0.2151	NA	0.88	0.234146	NA	3.44	19.790001	NA	0.26	123.209999	19.33	NA	NA	NA	NA	NA	NA	39.804878	NA
S0033	GA02	PE321	033	1609079	636587	13.162	-53.42111	9	5025	9.1	29.07	32.118999	NA	1.431	0.948	206.399994	202.8	0.02	8	0	0.01	2145	1824.599976	83.414635	6.048780	NA	NA	28.487804	NA	5e-4	45.385365	0.53	3.190244	NA	2.16	9.94	NA	0.03	154.130005	21.190001	NA	NA	NA	NA	NA	NA	21.463415	NA
S0034	GA02	PE321	033	1609079	636578	13.162	-53.42111	75	5025	75.4	27.559	36.041	NA	NA	NA	183.199997	184.6	0.04	1.5	0.4	0.37	2363.800049	2024.5	67.609756	5.951220	NA	NA	32.097561	NA	7e-4	36.252682	0.29	0.487805	NA	1.94	14.31	NA	0.58	135.050003	17.440001	NA	NA	NA	NA	NA	NA	36.390244	NA
S0035	GA02	PE321	033	1609079	636575	13.162	-53.42111	99	5025	99.6	26.565	36.645	NA	1.604	1.031	NA	196.2	0.02	0.9	0	0.05	2409.600098	2054.899902	70.439026	5.170732	NA	NA	29.395123	NA	5e-4	NA	0.22	1.395122	NA	1.87	15.65	NA	0.03	125.949997	18	NA	NA	NA	NA	NA	NA	43.414635	NA
S0036	GA02	PE321	033	1609079	636572	13.162	-53.42111	150	5025	150.9	22.09	36.912998	NA	NA	NA	145.199997	144.8	0.24	1.7	4.6	0.04	2418	2148.399902	NA	NA	NA	NA	19.180489	NA	0.0155	51.427319	0.28	0.35122	NA	2.14	16.52	NA	0.02	121.709999	16.07	NA	NA	NA	NA	NA	NA	42.341465	NA
S0037	GA02	PE321	033	1609079	636569	13.162	-53.42111	200	5025	201.3	17.576	36.34	NA	1.918	1.174	NA	120	0.77	3.9	13.6	0.02	2377.600098	2178.100098	NA	NA	NA	NA	15.95122	NA	0.0799	NA	0.58	0.165854	NA	2.64	19.459999	NA	0.08	130.289993	17.82	NA	NA	NA	NA	NA	NA	31.902439	NA
S0044	GA02	PE321	031	1609051	636299	16.831	-56.26862	8	5739	8	29.158	32.824001	NA	NA	NA	NA	207.2	0.02	1.6	0	0.03	2183.399902	1817.5	90.341461	6.439024	NA	NA	25.112194	NA	0.0013	NA	0.52	2.634146	NA	1.74	13.86	NA	0.04	163.350006	22.43	NA	NA	NA	NA	NA	NA	27.219513	NA
S0045	GA02	PE321	031	1609051	636290	16.831	-56.26862	76	5739	76.5	26.888	36.695999	NA	1.523	0.994	194.600006	195.5	0.01	1.1	0	0.23	2410.399902	2049.300049	72.585365	6.243903	NA	NA	34.058537	NA	0.0019	NA	0.45	1.2	NA	1.91	19.92	NA	0.02	131.139999	17.790001	NA	NA	NA	NA	NA	NA	44.780487	NA
S0046	GA02	PE321	031	1609051	636287	16.831	-56.26862	101	5739	101.6	26.014	36.945999	NA	1.586	1.027	190.699997	190.9	0.02	0.9	0.1	0.27	2418.699951	2069.600098	71.31707	6.439024	NA	NA	32.458538	NA	0.0018	NA	1.7	0.663415	NA	1.93	25.049999	NA	6.22	127.230003	18.02	NA	NA	NA	NA	NA	NA	38.146343	NA
S0047	GA02	PE321	031	1609051	636284	16.831	-56.26862	150	5739	151	22.921	37.144001	NA	NA	NA	NA	163.9	0.08	1	1.8	0.05	2428.100098	2134	NA	NA	NA	NA	22.478048	NA	0.006	NA	0.3	0.458537	NA	2.02	19.77	NA	0.07	121.540001	15.74	NA	NA	NA	NA	NA	NA	41.756100000000004	NA
S0048	GA02	PE321	031	1609051	636281	16.831	-56.26862	201	5739	202.3	20.414	36.948002	NA	1.986	1.241	NA	159.2	0.2	1.3	4.4	0.02	2414.5	2146.899902	NA	NA	NA	NA	20.65366	NA	0.0172	NA	0.4	0.22439	NA	2.23	22.450001	NA	0.07	131.619995	16.370001	NA	NA	NA	NA	NA	NA	44	NA
S0152	GA02	PE321	027	1608967	633533	22.3409	-63.58330999999998	12	5807	12.1	28.394	36.150002	NA	1.455	0.947	NA	193.9	0.01	1.1	0	0.01	2367.199951	2016.599976	NA	NA	NA	NA	42.819511	NA	5e-4	NA	1.44	3.531707	NA	2	22.01	NA	0.02	138.850006	18.25	NA	NA	NA	NA	NA	NA	39.512196	NA
S0153	GA02	PE321	027	1608967	633524	22.3409	-63.58330999999998	75	5807	75.5	23.674	36.987999	NA	NA	NA	NA	211.2	0.01	0.7	0	0.01	2418.600098	2070.699951	NA	NA	NA	NA	36.799999	NA	3e-4	NA	0.41	1.902439	NA	1.97	20.799999	NA	0.05	129.419998	14.42	NA	NA	NA	NA	NA	NA	42.731709	NA
S0154	GA02	PE321	027	1608967	633521	22.3409	-63.58330999999998	100	5807	100.7	22.298	36.903999	NA	1.839	1.179	NA	210.3	0.01	0.7	0	0.01	2417.600098	2078.899902	NA	NA	NA	NA	33.639027	NA	7e-4	NA	0.3	1.512195	NA	2.01	21.24	NA	0.02	130.740005	14.09	NA	NA	NA	NA	NA	NA	41.560974	NA
S0155	GA02	PE321	027	1608967	633518	22.3409	-63.58330999999998	127	5807	127.8	21.313	36.972	NA	1.87	1.219	NA	178.8	0.03	0.8	0.9	0.11	2417.699951	2122.100098	NA	NA	NA	NA	27.12195	NA	3e-4	NA	0.17	0.712195	NA	1.97	21.610001	NA	0.07	128.509995	14.24	NA	NA	NA	NA	NA	NA	38.92683	NA
S0156	GA02	PE321	027	1608967	633515	22.3409	-63.58330999999998	200	5807	201.4	19.064	36.653999	NA	1.99	1.285	NA	189	0.1	1.1	2.8	0.02	2396.199951	2115.699951	NA	NA	NA	NA	27.912195	NA	0.0084	NA	0.28	0.292683	NA	2.14	20.209999	NA	0.04	135.979996	14.71	NA	NA	NA	NA	NA	NA	44.878048	NA
S0147	GA02	PE321	025	1608932	633245	24.7144	-67.07269000000002	11	5573	11.1	26.76	36.492001	NA	1.582	1.043	197.399994	203.6	0.01	0.9	0	0.01	2388.199951	2035.699951	75.414635	5.756098	NA	NA	41.424389	NA	5e-4	27.639025	1.77	2.760976	NA	2.01	23.610001	NA	0.06	138.100006	17.6	17.507	-10.339000	NA	NA	NA	NA	39.902439	NA
S0148	GA02	PE321	025	1608932	633236	24.7144	-67.07269000000002	77	5573	77.5	22.846	36.914001	NA	1.863	1.191	NA	213.4	0.01	0.7	0	0.01	2413	2074.399902	67.707314	5.658536	NA	NA	35.502438	NA	9.99999975e-5	54.351219	0.49	1.941463	NA	2.01	21.629999	NA	0.03	130.75	14.67	14.819	-10.144000	NA	NA	NA	NA	40	NA
S0149	GA02	PE321	025	1608932	633233	24.7144	-67.07269000000002	119	5573	119.8	21.297	36.834999	NA	1.964	1.242	NA	204.9	0.01	0.7	0	0.03	2408.600098	2090	62.829269	4.000000	NA	NA	30.643904	NA	6e-4	NA	0.23	1.239024	NA	1.99	19.92	NA	0.08	127.980003	13.41	NA	NA	NA	NA	NA	NA	38.439026	NA
S0150	GA02	PE321	025	1608932	633230	24.7144	-67.07269000000002	152	5573	153	20.038	36.708	NA	NA	NA	NA	212.4	0.02	0.7	0.1	0.25	2399.699951	2093.699951	NA	NA	NA	NA	27.32683	NA	9.99999975e-5	47.902439	0.24	1.043902	NA	2.05	20.68	NA	0.09	132.660004	13.65	13.183	-9.689000	NA	NA	NA	NA	39.609756	NA
S0151	GA02	PE321	025	1608932	633227	24.7144	-67.07269000000002	202	5573	203.4	18.96	36.623001	NA	1.906	1.322	NA	198.3	0.08	1	2.4	0.02	2392.800049	2107	NA	NA	NA	NA	26.829268	NA	0.0074	NA	0.33	0.321951	NA	2.1	22.59	NA	0.09	136.75	15.01	NA	NA	NA	NA	NA	NA	44.780487	NA
S0168	GA02	PE321	023	1608904	634370	28.0907	-67.50150000000002	8	4920	8.1	26.876	36.758999	NA	1.488	1.033	209.300003	201.4	0.02	0.8	0.1	0.01	2402.100098	2047.300049	73.365852	6.439024	NA	NA	41.151218	NA	0.0024	30	0.81	3.2	NA	2.08	30.540001	NA	0.28	135.539993	16.66	NA	NA	NA	NA	NA	NA	43.609756	NA
S0169	GA02	PE321	023	1608904	634361	28.0907	-67.50150000000002	76	4920	76.5	22.375	36.834999	NA	NA	NA	NA	214.1	0.02	0.7	0.1	0.01	2407	2069.800049	69.658539	5.756098	NA	NA	36.234146	NA	5e-4	36.312195	0.47	1.834146	NA	2.05	22.51	NA	0.09	129.179993	13.13	NA	NA	NA	NA	NA	NA	44	NA
S0170	GA02	PE321	023	1608904	634358	28.0907	-67.50150000000002	87	4920	87.6	22.002	36.820999	NA	1.75	1.179	NA	215.6	0.02	0.7	0.1	0.01	2407.399902	2070.300049	72.390244	6.439024	NA	NA	36.234146	NA	5e-4	36.312195	0.47	1.834146	NA	2.05	22.51	NA	0.09	129.179993	13.13	NA	NA	NA	NA	NA	NA	44	NA
S0171	GA02	PE321	023	1608904	634355	28.0907	-67.50150000000002	150	4920	151.1	20.297	36.737999	NA	NA	NA	NA	199.4	0.03	0.7	0.9	0.04	2401.800049	2095	NA	NA	NA	NA	30.868294	NA	0.0019	42.565853	0.31	0.634146	NA	2.07	19.09	NA	0.04	127.669998	12.82	NA	NA	NA	NA	NA	NA	41.853661	NA
S0172	GA02	PE321	023	1608904	634352	28.0907	-67.50150000000002	200	4920	201.4	19.329	36.669998	NA	1.847	1.299	NA	191.9	0.08	0.9	2.2	0.02	2394.399902	2108	NA	NA	NA	NA	29.473171	NA	0.0042	NA	0.29	0.487805	NA	2.03	18.09	NA	0.02	129.440002	12.63	NA	NA	NA	NA	NA	NA	40.195122	NA
S0163	GA02	PE321	021	1608862	633860	31.6668	-64.16669000000002	10	4560	10.1	23.793	36.688	NA	1.682	1.147	211.199997	198.8	0.02	0.4	0	0.02	2406.300049	2075.199951	65.463417	3.512195	NA	NA	28.419512	NA	4e-4	25.356098	0.3	1.463415	NA	2.03	21.57	NA	0.03	131.160004	13.04	13.041	-9.450000	NA	NA	NA	NA	35.902439	NA
S0164	GA02	PE321	021	1608862	633851	31.6668	-64.16669000000002	75	4560	75.5	18.713	36.617001	NA	1.963	1.349	NA	219	0.04	0.5	0.6	0.13	2392.899902	2095.100098	56.975609	2.926829	NA	NA	21.356098	NA	6e-4	30.595121	0.08	0.839024	NA	1.95	19.190001	NA	0.03	129.910004	12.65	13.023	-9.557000	NA	NA	NA	NA	41.463413	NA
S0165	GA02	PE321	021	1608862	633848	31.6668	-64.16669000000002	100	4560	100.7	18.469	36.605999	NA	1.963	1.343	NA	205.3	0.1	0.8	2	0.08	2391.699951	2101	55.219513	5.073171	NA	NA	27.863415	NA	0.0096	26.487804	0.12	0.643902	NA	2.08	19.959999	NA	0.07	134.809998	13.59	NA	NA	NA	1.780195	2.014634	0.323884	41.365852	NA
S0166	GA02	PE321	021	1608862	633845	31.6668	-64.16669000000002	150	4560	151.1	18.271	36.589001	NA	1.957	1.34	NA	201.7	0.14	1	2.8	0.03	2391.699951	2103.699951	NA	NA	NA	NA	28.546343	NA	0.0112	29.65366	0.16	0.634146	NA	2.1	20.91	NA	0.06	135.360001	14.72	NA	NA	NA	NA	NA	NA	42.341465	NA
S0167	GA02	PE321	021	1608862	633842	31.6668	-64.16669000000002	202	4560	203.5	18.131	36.574001	NA	1.978	1.344	207.100006	198.4	0.16	1.1	3	0.01	2392.100098	2104.399902	NA	NA	NA	NA	30.243902	NA	0.0156	38.868294	0.17	0.478049	NA	2.14	20.860001	NA	0.14	137.910004	14.45	14.467	-9.443000	NA	NA	NA	NA	40.780487	NA
S0294	GA02	PE319	018	1608715	632273	33.4334	-58.05020000000002	9	4504	9.1	20.566	36.647999	NA	2.116	1.332	219.820007	212.3	0.01	0.3	0	0.02	2396.100098	2080.899902	63.219513	NA	NA	NA	16.89756	NA	0.0043	NA	0.05	0.770732	NA	2.14	21.75	NA	0.03	135.520004	13.2	NA	NA	NA	NA	NA	NA	31.219513	NA
S0295	GA02	PE319	018	1608715	632267	33.4334	-58.05020000000002	51	4504	51.4	18.93	36.609001	NA	2.192	1.364	NA	214	0.01	0.7	0	0.04	2393.800049	2086.699951	57.365852	NA	NA	NA	17.970732	NA	0.0019	NA	0.04	0.75122	NA	2.15	19.690001	NA	0.06	132.399994	12.75	NA	NA	NA	NA	NA	NA	33.560974	NA
S0296	GA02	PE319	018	1608715	632264	33.4334	-58.05020000000002	76	4504	76.6	18.643	36.597	NA	NA	NA	218.029999	214.2	0.02	0.5	0.4	0.15	2392.699951	2090.899902	NA	NA	NA	NA	17.697561	NA	0.0041	NA	0.12	0.721951	NA	2.18	22.139999	NA	0.06	135.979996	13.22	NA	NA	NA	NA	NA	NA	38.536587	NA
S0297	GA02	PE319	018	1608715	632258	33.4334	-58.05020000000002	151	4504	152.1	18.314	36.584999	NA	NA	NA	NA	203.9	0.06	1	1.9	0.05	2392.5	2100.399902	NA	NA	NA	NA	22.975611	NA	0.0105	NA	0.16	0.517073	NA	2.25	19.559999	NA	0.08	136.300003	14.28	NA	NA	NA	NA	NA	NA	38.439026	NA
S0298	GA02	PE319	018	1608715	632255	33.4334	-58.05020000000002	201	4504	202.5	18.116	36.566002	NA	2.216	1.367	NA	202.7	0.11	1.4	2.8	0.04	2391.899902	2103.899902	NA	NA	NA	NA	26.204878	NA	0.0166	NA	0.13	0.468293	NA	2.21	21.67	NA	0.07	141.889999	15.42	NA	NA	NA	NA	NA	NA	43.902439	NA
S0027	GA02	PE319	017	1608701	632129	34.3307	-55.42450000000002	10	5533	10.1	18.858	36.526001	NA	2.233	1.386	NA	227.4	0.02	0.3	0	0.02	2393	2082.399902	60.487804	NA	NA	NA	14.692683	NA	0.0034	24.746342	0.09	0.614634	NA	2.03	21.209999	NA	0.75	125.309998	11.86	NA	NA	NA	NA	NA	NA	34.341465	NA
S0028	GA02	PE319	017	1608701	632123	34.3307	-55.42450000000002	50	5533	50.4	18.167	36.52	NA	NA	NA	NA	218	0.02	0.3	0.2	0.08	2393.600098	2092.199951	55.902439	NA	NA	NA	15.37561	NA	0.0038	NA	0.05	0.653659	NA	2.04	20.690001	NA	0.02	128.570007	11.72	NA	NA	NA	NA	NA	NA	35.121952	NA
S0029	GA02	PE319	017	1608701	632120	34.3307	-55.42450000000002	77	5533	77.6	17.855	36.509998	NA	NA	NA	216.990005	213.3	0.07	0.5	1.2	0.47	2392.800049	2099.5	NA	NA	NA	NA	15.77561	NA	0.0037	28.180489	0.06	0.634146	NA	2.1	21.049999	NA	0.03	130.5	12.31	NA	NA	NA	NA	NA	NA	32.780487	NA
S0030	GA02	PE319	017	1608701	632117	34.3307	-55.42450000000002	103	5533	103.8	17.557	36.500999	NA	2.265	1.386	NA	207.6	0.13	0.9	2.9	0.16	2387.5	2104.399902	56.097561	NA	NA	NA	19.239023	NA	0.0119	NA	0.05	0.653659	NA	2.12	22.360001	NA	0.04	133.710007	14.27	NA	NA	NA	NA	NA	NA	40.878048	NA
S0031	GA02	PE319	017	1608701	632114	34.3307	-55.42450000000002	152	5533	153.2	17.436	36.486	NA	NA	NA	NA	212.2	0.14	1	2.7	0.34	2386.899902	2104.899902	NA	NA	NA	NA	26.936584	NA	0.0236	35.404877	0.18	0.507317	NA	2.17	21.469999	NA	0.08	135.110001	15.5	NA	NA	NA	NA	NA	NA	41.170731	NA
S0032	GA02	PE319	017	1608701	632111	34.3307	-55.42450000000002	199	5533	200.5	17.398	36.493	NA	2.256	1.387	213.220001	209.2	0.15	1	3.1	0.14	2388.800049	2106.899902	NA	NA	NA	NA	27.073172	NA	0.0266	NA	0.2	0.487805	NA	2.17	21.389999	NA	0.11	136.110001	15.57	NA	NA	NA	NA	NA	NA	39.902439	NA
S0015	GA02	PE319	016	1608687	632891	36.2051	-53.29102	8	5451	8.1	18.574	36.542	NA	2.207	1.398	227.660004	223.1	0.02	0.3	0.1	0.03	2392.100098	2082.5	56.585365	NA	NA	NA	14.985366	NA	0.0052	NA	0.06	0.731707	NA	2.24	20.57	NA	0.06	133.809998	11.63	NA	NA	NA	NA	NA	NA	30.341463	NA
S0016	GA02	PE319	016	1608687	632885	36.2051	-53.29102	50	5451	50.4	18.327	36.537998	NA	NA	NA	NA	214.2	0.03	0.4	0.7	0.16	2392.399902	2090.699951	56.487804	NA	NA	NA	15.404878	NA	0.0026	NA	0.04	0.741463	NA	2.24	20.879999	NA	0.01	135.350006	11.46	NA	NA	NA	NA	NA	NA	32.097561	NA
S0017	GA02	PE319	016	1608687	632882	36.2051	-53.29102	74	5451	74.6	18.069	36.537998	NA	NA	NA	NA	205.2	0.09	0.8	2.2	0.28	2392	2099.899902	NA	NA	NA	NA	15.414634	NA	0.004	NA	0.06	0.721951	NA	2.29	21.889999	NA	0.03	135.800003	12.57	NA	NA	NA	NA	NA	NA	32.097561	NA
S0018	GA02	PE319	016	1608687	632879	36.2051	-53.29102	102	5451	102.8	17.853	36.532001	NA	2.21	1.381	NA	206	0.12	0.9	2.7	0.17	2390.5	2104.600098	54.536587	NA	NA	NA	17.521952	NA	0.0096	NA	0.11	0.663415	NA	2.28	21.360001	NA	0.03	139.330002	14.46	NA	NA	NA	NA	NA	NA	38.536587	NA
S0019	GA02	PE319	016	1608687	632876	36.2051	-53.29102	151	5451	152.2	17.691	36.513	NA	NA	NA	NA	205.8	0.14	1	2.9	0.25	2390	2104	NA	NA	NA	NA	20.67317	NA	0.0153	NA	0.11	0.653659	NA	2.28	22.700001	NA	0.05	140.919998	15.11	NA	NA	NA	NA	NA	NA	39.609756	NA
S0020	GA02	PE319	016	1608687	632873	36.2051	-53.29102	199	5451	200.6	17.558	36.511002	NA	2.215	1.381	211.25	207.4	0.15	1.1	3.1	0.13	2389.600098	2105	NA	NA	NA	NA	21.77561	NA	0.0158	NA	0.12	0.663415	NA	2.35	21.4	NA	0.04	140.820007	15.48	NA	NA	NA	NA	NA	NA	38.536587	NA
S0021	GA02	PE319	015	1608673	632459	37.5345	-50.781889999999976	10	5441	10.1	17.759	36.409	NA	2.293	1.407	232.880005	222.6	0.03	0.2	0.3	0.1	2381.600098	2085.899902	61.463413	NA	NA	NA	11.512195	NA	0.0079	26.292683	0.05	0.585366	NA	2.07	22.959999	NA	0.04	121.949997	11.23	12.06	NA	NA	NA	NA	NA	28.878050000000002	NA
S0022	GA02	PE319	015	1608673	632453	37.5345	-50.781889999999976	52	5441	52.4	17.695	36.403	NA	NA	NA	NA	221.8	0.03	0.2	0.3	0.06	2383.300049	2085.899902	69.658539	NA	NA	NA	11.473171	NA	0.0033	NA	0.03	0.57561	NA	2.08	21.030001	NA	0.06	121.660004	11.42	12.109	NA	NA	NA	NA	NA	32.487804	NA
S0023	GA02	PE319	015	1608673	632450	37.5345	-50.781889999999976	75	5441	75.6	17.648	36.400002	NA	NA	NA	228.940002	220.4	0.04	0.3	0.5	0.09	2383.300049	2088	NA	NA	NA	NA	12.946342	NA	0.0044	NA	0.04	0.565854	NA	2.09	22.139999	NA	0.02	122.730003	11.6	NA	NA	NA	NA	NA	NA	31.512196	NA
