sample	Cruise	Cruise Name	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	NO2+NO3_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	NITRATE_15_14_D_DELTA_BOTTLE [per mil]	Ba_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Ce_D_CONC_BOTTLE [pmol/kg]	Pr_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Sm_D_CONC_BOTTLE [pmol/kg]	Eu_D_CONC_BOTTLE [pmol/kg]	Gd_D_CONC_BOTTLE [pmol/kg]	Tb_D_CONC_BOTTLE [pmol/kg]	Dy_D_CONC_BOTTLE [pmol/kg]	Ho_D_CONC_BOTTLE [pmol/kg]	Er_D_CONC_BOTTLE [pmol/kg]	Tm_D_CONC_BOTTLE [pmol/kg]	Yb_D_CONC_BOTTLE [pmol/kg]	Lu_D_CONC_BOTTLE [pmol/kg]	Pb_206_204_TD_RATIO_BOTTLE	Pb_206_207_TD_RATIO_BOTTLE	Pb_208_207_TD_RATIO_BOTTLE	Pb_207_204_TD_RATIO_BOTTLE	Pb_208_204_TD_RATIO_BOTTLE	Pb_208_206_TD_RATIO_BOTTLE	Ba_138_134_D_DELTA_BOTTLE [per mil]	Fe_56_54_D_DELTA_BOTTLE [per mil]	Ra_226_T_CONC_BOTTLE [mBq/kg]	Ra_228_T_CONC_BOTTLE [mBq/kg]	Fe_D_CONC_FISH [nmol/kg]	P_TP_CONC_BOTTLE [nmol P/kg]	P_TPL_CONC_BOTTLE [nmol P/kg]	Al_TP_CONC_BOTTLE [nmol/kg]	Al_TPL_CONC_BOTTLE [nmol/kg]	Ba_TP_CONC_BOTTLE [pmol/kg]	Ba_TPL_CONC_BOTTLE [pmol/kg]	Cd_TP_CONC_BOTTLE [pmol/kg]	Cd_TPL_CONC_BOTTLE [pmol/kg]	Co_TP_CONC_BOTTLE [pmol/kg]	Co_TPL_CONC_BOTTLE [pmol/kg]	Cu_TP_CONC_BOTTLE [pmol/kg]	Cu_TPL_CONC_BOTTLE [pmol/kg]	Fe_TP_CONC_BOTTLE [nmol/kg]	Fe_TPL_CONC_BOTTLE [nmol/kg]	Mn_TP_CONC_BOTTLE [nmol/kg]	Mn_TPL_CONC_BOTTLE [nmol/kg]	Mo_TP_CONC_BOTTLE [pmol/kg]	Mo_TPL_CONC_BOTTLE [pmol/kg]	Ni_TP_CONC_BOTTLE [pmol/kg]	Ni_TPL_CONC_BOTTLE [pmol/kg]	Pb_TP_CONC_BOTTLE [pmol/kg]	Pb_TPL_CONC_BOTTLE [pmol/kg]	Ti_TP_CONC_BOTTLE [nmol/kg]	Ti_TPL_CONC_BOTTLE [nmol/kg]	V_TP_CONC_BOTTLE [pmol/kg]	V_TPL_CONC_BOTTLE [pmol/kg]	Zn_TP_CONC_BOTTLE [pmol/kg]	Zn_TPL_CONC_BOTTLE [pmol/kg]	Chl a_HPLC_P_CONC_BOTTLE [ng/liter]	Chl b_HPLC_P_CONC_BOTTLE [ng/liter]	Chl c3_HPLC_P_CONC_BOTTLE [ng/liter]	DV chl a_HPLC_P_CONC_BOTTLE [ng/liter]	Allo_HPLC_P_CONC_BOTTLE [ng/liter]	But fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Beta Car_HPLC_P_CONC_BOTTLE [ng/liter]	Diadino_HPLC_P_CONC_BOTTLE [ng/liter]	Fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Hex fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Lut_HPLC_P_CONC_BOTTLE [ng/liter]	Perid_HPLC_P_CONC_BOTTLE [ng/liter]	Viola_HPLC_P_CONC_BOTTLE [ng/liter]	Zea_HPLC_P_CONC_BOTTLE [ng/liter]
S0494	GA10	D357	761184	237880	-36.4502	13.231	100.9	4913	101.7	14.204	35.264999	35.269001	251.385376	246.8293	0.390244	1.746341	0.214634	1.960976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	10.18	0	0	7.34	0	0	0	0	0
S0453	GA10	D357	761128	237665	-35.4147	14.9537	6.4	4690	6.4	17.944	35.581001	35.583	238.126831	237.9512	0.165854	2.653658	0.165854	0.926829	2329.399902	2044.400024	NA	NA	19.736586	NA	NA	NA	13.761	13.069	3.103	12.4	2.442	0.764	3.225	0.497	3.713	0.959	3.105	0.435	2.619	0.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	346.806488	0	19.219999	0	3.5	63.799999	10.65	31.16	114.889999	111.910004	0	16.49	8.59	0
S0454	GA10	D357	761128	237663	-35.4147	14.9537	21.3	4690	21.5	17.941	35.580002	35.582001	241.034149	237.8537	0.185366	2.634146	0.17561	0.985366	2329.399902	2044.400024	6.76	NA	19.736586	NA	NA	4.458537	13.761	13.069	3.103	12.4	2.442	0.764	3.225	0.497	3.713	0.959	3.105	0.435	2.619	0.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310.622101	0	0	0	2.99	58.939999	10.7	21.32	108.040001	105.010002	0	5.06	7.94	0
S0455	GA10	D357	761128	237662	-35.4147	14.9537	51.1	4690	51.5	17.945	35.581001	35.575001	240.536591	237.2683	0.185366	2.692683	0.185366	1.073171	2326.800049	2056.699951	6.66	NA	31.200001	NA	NA	2.956098	14.213	14.1	3.303	13.04	2.57	0.798	3.353	0.51	3.787	0.973	3.178	0.445	2.676	0.418	NA	NA	NA	NA	NA	NA	NA	NA	133.333374	0.046341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	345.197113	0	8.32	0	4.21	65.089996	11.42	31.450001	109.870003	116.489998	0	7.91	10.3	0
S0456	GA10	D357	761128	237656	-35.4147	14.9537	61.4	4690	61.9	17.842	35.574001	35.574001	235.619507	233.4634	0.234146	2.97561	0.282927	1.668293	2336.399902	2053.899902	5.96	NA	30.282927	NA	NA	0.380488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	133.333374	0.046341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	221.153702	0	0	0	4.17	56.639999	0	12.68	60.509998	83.199997	0	0	9	0
S0457	GA10	D357	761128	237655	-35.4147	14.9537	81.5	4690	82.1	17.818	35.571999	35.569	233.190247	230.9268	0.253659	3.112195	0.341463	2.009756	2336.399902	2053.899902	5.96	NA	26.663416	NA	NA	0.263415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	144.719696	0	3.59	0	1.94	38.610001	5.38	5.35	29.639999	47.48	0	17.18	4.04	0
S0458	GA10	D357	761128	237654	-35.4147	14.9537	101.9	4690	102.7	17.785	35.567001	35.535	230	227.6098	0.273171	3.278049	0.35122	2.439024	2336.699951	2057.100098	5.67	NA	40.721951	NA	NA	0.380488	13.934	13.497	3.148	12.38	2.433	0.765	3.201	0.492	3.706	0.954	3.119	0.434	2.614	0.407	NA	NA	NA	NA	NA	NA	NA	NA	136.585373	0.044390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.258598	0	0	0	2.15	15.66	0	0	12.84	20.360001	0	0	1.74	0
S0483	GA10	D357	761176	237841	-34.9184	16.0595	6	4270	6	18.187	35.554001	35.558998	237.102448	236	0.195122	2.926829	0.087805	0.946341	2332.699951	2049.899902	NA	NA	1.239024	NA	NA	0.917073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.121952	20.195122	2.390244	0.497561	48.780487	18.536585	8.458536	7.756098	47.951221	4.546341	38.048782	23.414635	0.868293	0.197073	0.041951	0.035122	9.853659	4.97561	34.146343	21.463415	1.42439	1.219512	0.126829	0.00878	50.92683	45.951221	117.073174	73.170731	156.987305	0	0	0	4.79	15.95	5.96	16.389999	15.01	40.419998	0	0	6.74	17.41
S0484	GA10	D357	761176	237839	-34.9184	16.0595	21.2	4270	21.4	18.057	35.554001	35.558998	238.195114	236.2927	0.204878	2.917073	0.087805	0.936585	2331.5	2049	NA	NA	1.239024	NA	NA	0.917073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.121952	20.195122	2.390244	0.497561	48.780487	18.536585	8.458536	7.756098	47.951221	4.546341	38.048782	23.414635	0.868293	0.197073	0.041951	0.035122	9.853659	4.97561	34.146343	21.463415	1.42439	1.219512	0.126829	0.00878	50.92683	45.951221	117.073174	73.170731	263.348999	63.259998	0	0	6.76	34.299999	14.48	15.57	31.18	77.889999	0	0	15.7	28.93
S0485	GA10	D357	761176	237837	-34.9184	16.0595	41.3	4270	41.6	18.042	35.553001	35.557999	237.726837	236.3902	0.204878	2.917073	0.087805	0.965854	2333.699951	2049.300049	NA	NA	5.902439	NA	NA	0.468293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.07317	23.609756	1.346341	0.4	41.951221	18.536585	5.736586	5.229268	7.658536	3.434146	33.170731	18.536585	0.692683	0.102439	0.039024	0.032195	7.414634	4.390244	19.512196	15.609756	1.853659	1.658537	0.029268	0.004878	37.365852	31.024389	1365.85376	1204.878052	147.815598	0	0	0	4.37	21.780001	5.44	6.6	18.040001	56.900002	0	0	7.93	10.94
S0486	GA10	D357	761176	237830	-34.9184	16.0595	60.9	4270	61.4	18.005	35.549999	35.556999	235.082932	234.2439	0.22439	2.936585	0.107317	1.141463	2333.699951	2049.300049	NA	NA	5.902439	NA	NA	0.468293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.07317	23.609756	1.346341	0.4	41.951221	18.536585	5.736586	5.229268	7.658536	3.434146	33.170731	18.536585	0.692683	0.102439	0.039024	0.032195	7.414634	4.390244	19.512196	15.609756	1.853659	1.658537	0.029268	0.004878	37.365852	31.024389	1365.85376	1204.878052	358.170013	72.129997	0	0	6.97	48.549999	20.049999	11.29	37.84	102.150002	0	14.52	13.52	21.209999
S0487	GA10	D357	761176	237829	-34.9184	16.0595	71.6	4270	72.1	17.992	35.549	35.550999	234.517075	233.6585	0.22439	2.956098	0.107317	1.170732	2333.699951	2049.300049	NA	NA	22.985367	NA	NA	0.253659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	448.336304	88.57	0	0	8.19	49.470001	21.549999	11	37.540001	102.57	0	5.14	15.38	24.1
S0488	GA10	D357	761176	237826	-34.9184	16.0595	101.1	4270	101.9	17.978	35.549	35.544998	234.429276	232.8781	0.234146	2.995122	0.107317	1.219512	2333.100098	2056.600098	NA	NA	21.746342	NA	NA	0.156098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.95122	NA	0.887805	NA	60.487804	NA	7.404878	NA	8.917073	NA	20.487804	NA	0.312195	NA	0.026341	NA	4.780488	NA	15.609756	NA	0.682927	NA	0.058537	NA	12.195122	NA	18.536585	NA	362.039795	62.189999	0	0	6.13	36.32	18.459999	8.2	28.969999	69.129997	0	18.85	11.04	16.129999
S0447	GA10	D357	761122	237617	-34.6197	17.0538	6.1	2624	6.1	17.951	35.486	35.487999	241.024384	241.2683	0.17561	2.8	0.009756	0.604878	2331.5	2039.699951	NA	NA	41.473171	NA	NA	5.297561	24.41	29.483	5.716	24.280001	4.65	1.257	5.048	0.709	4.802	1.165	3.613	0.5	2.97	0.454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	300.274902	0	0	0	25.77	37.959999	7.25	0	94	97.919998	0	3.9	9.36	0
S0448	GA10	D357	761122	237616	-34.6197	17.0538	21.1	2624	21.3	17.915	35.486	35.487	240.751221	241.6585	0.185366	2.712195	0.078049	0.604878	2331.800049	2041.5	NA	NA	40.019512	NA	NA	8.302439	24.41	29.483	5.716	24.280001	4.65	1.257	5.048	0.709	4.802	1.165	3.613	0.5	2.97	0.454	NA	NA	NA	NA	NA	NA	NA	NA	139.837372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	291.558807	0	20.549999	0	6.41	35.900002	4.96	29.25	93.980003	105.32	0	13.57	12.25	0
S0449	GA10	D357	761122	237615	-34.6197	17.0538	31.2	2624	31.4	17.715	35.478001	35.48	240.751221	241.7561	0.195122	2.526829	0.078049	0.692683	2331.800049	2041.5	NA	NA	38.17561	NA	NA	3.756098	26.368999	31.513	6.141	25.879999	4.942	1.326	5.329	0.743	4.947	1.2	3.717	0.512	3.063	0.471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	425.2948	38.07	0	0	5.81	60.240002	13.18	23.82	164.240005	152.559998	0	4.33	7.16	0
S0450	GA10	D357	761122	237614	-34.6197	17.0538	40.8	2624	41.1	17.681	35.478001	35.479	238.175613	240.4878	0.214634	2.702439	0.097561	0.829268	2330.300049	2044.5	8.1	NA	38.17561	NA	NA	3.756098	26.368999	31.513	6.141	25.879999	4.942	1.326	5.329	0.743	4.947	1.2	3.717	0.512	3.063	0.471	NA	NA	NA	NA	NA	NA	NA	NA	139.837372	0.047805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	427.251404	43.130001	0	0	5.96	61.5	12.95	18.32	151.460007	152.5	0	7	9.78	0
S0451	GA10	D357	761122	237613	-34.6197	17.0538	51.4	2624	51.8	17.537	35.476002	35.478001	236.058533	238.9268	0.243902	3.014634	0.107317	1.034146	2330.300049	2043	8.1	NA	48.829269	NA	NA	1.443902	27.063	34.557999	6.445	27.32	5.212	1.377	5.48	0.765	5.07	1.216	3.762	0.523	3.104	0.477	NA	NA	NA	NA	NA	NA	NA	NA	139.837372	0.047805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310.010895	35.849998	0	0	3.49	55.09	11.16	13.68	93.080002	118.790001	0	3.8	10.61	0
S0452	GA10	D357	761122	237607	-34.6197	17.0538	60.9	2624	61.3	17.025	35.439999	35.439999	236.595123	232.1951	0.341463	4.029268	0.126829	2.546341	2330.300049	2043	8.1	NA	48.829269	NA	NA	1.443902	27.063	34.557999	6.445	27.32	5.212	1.377	5.48	0.765	5.07	1.216	3.762	0.523	3.104	0.477	NA	NA	NA	NA	NA	NA	NA	NA	139.837372	0.047805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	4.25	0	0	0	0	0
