sample	Cruise	Cruise Name	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	NO2+NO3_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	NITRATE_15_14_D_DELTA_BOTTLE [per mil]	Ba_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Ce_D_CONC_BOTTLE [pmol/kg]	Pr_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Sm_D_CONC_BOTTLE [pmol/kg]	Eu_D_CONC_BOTTLE [pmol/kg]	Gd_D_CONC_BOTTLE [pmol/kg]	Tb_D_CONC_BOTTLE [pmol/kg]	Dy_D_CONC_BOTTLE [pmol/kg]	Ho_D_CONC_BOTTLE [pmol/kg]	Er_D_CONC_BOTTLE [pmol/kg]	Tm_D_CONC_BOTTLE [pmol/kg]	Yb_D_CONC_BOTTLE [pmol/kg]	Lu_D_CONC_BOTTLE [pmol/kg]	Pb_206_204_TD_RATIO_BOTTLE	Pb_206_207_TD_RATIO_BOTTLE	Pb_208_207_TD_RATIO_BOTTLE	Pb_207_204_TD_RATIO_BOTTLE	Pb_208_204_TD_RATIO_BOTTLE	Pb_208_206_TD_RATIO_BOTTLE	Ba_138_134_D_DELTA_BOTTLE [per mil]	Fe_56_54_D_DELTA_BOTTLE [per mil]	Ra_226_T_CONC_BOTTLE [mBq/kg]	Ra_228_T_CONC_BOTTLE [mBq/kg]	Fe_D_CONC_FISH [nmol/kg]	P_TP_CONC_BOTTLE [nmol P/kg]	P_TPL_CONC_BOTTLE [nmol P/kg]	Al_TP_CONC_BOTTLE [nmol/kg]	Al_TPL_CONC_BOTTLE [nmol/kg]	Ba_TP_CONC_BOTTLE [pmol/kg]	Ba_TPL_CONC_BOTTLE [pmol/kg]	Cd_TP_CONC_BOTTLE [pmol/kg]	Cd_TPL_CONC_BOTTLE [pmol/kg]	Co_TP_CONC_BOTTLE [pmol/kg]	Co_TPL_CONC_BOTTLE [pmol/kg]	Cu_TP_CONC_BOTTLE [pmol/kg]	Cu_TPL_CONC_BOTTLE [pmol/kg]	Fe_TP_CONC_BOTTLE [nmol/kg]	Fe_TPL_CONC_BOTTLE [nmol/kg]	Mn_TP_CONC_BOTTLE [nmol/kg]	Mn_TPL_CONC_BOTTLE [nmol/kg]	Mo_TP_CONC_BOTTLE [pmol/kg]	Mo_TPL_CONC_BOTTLE [pmol/kg]	Ni_TP_CONC_BOTTLE [pmol/kg]	Ni_TPL_CONC_BOTTLE [pmol/kg]	Pb_TP_CONC_BOTTLE [pmol/kg]	Pb_TPL_CONC_BOTTLE [pmol/kg]	Ti_TP_CONC_BOTTLE [nmol/kg]	Ti_TPL_CONC_BOTTLE [nmol/kg]	V_TP_CONC_BOTTLE [pmol/kg]	V_TPL_CONC_BOTTLE [pmol/kg]	Zn_TP_CONC_BOTTLE [pmol/kg]	Zn_TPL_CONC_BOTTLE [pmol/kg]	Chl a_HPLC_P_CONC_BOTTLE [ng/liter]	Chl b_HPLC_P_CONC_BOTTLE [ng/liter]	Chl c3_HPLC_P_CONC_BOTTLE [ng/liter]	DV chl a_HPLC_P_CONC_BOTTLE [ng/liter]	Allo_HPLC_P_CONC_BOTTLE [ng/liter]	But fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Beta Car_HPLC_P_CONC_BOTTLE [ng/liter]	Diadino_HPLC_P_CONC_BOTTLE [ng/liter]	Fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Hex fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Lut_HPLC_P_CONC_BOTTLE [ng/liter]	Perid_HPLC_P_CONC_BOTTLE [ng/liter]	Viola_HPLC_P_CONC_BOTTLE [ng/liter]	Zea_HPLC_P_CONC_BOTTLE [ng/liter]
S0460	GA10	D357	761140	237702	-36.4658	13.2704	21.1	4911	21.3	13	35.075001	35.077	261.834137	258.7317	0.458537	2.429268	0.146341	3.980488	2315.899902	2083.199951	11.36	41.365852	17.034145	0.06	20.5	0.058537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.111	1.159	2.433	15.624	38.016998	2.099	0.530000	0.32	143.089462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146.191696	0	0	0	0	36.759998	6.49	11.86	19.83	91.43	0	8.8	3.21	14.54
S0461	GA10	D357	761140	237700	-36.4658	13.2704	50.2	4911	50.6	12.624	34.995998	34.999001	264.83902	261.4634	0.478049	2.341463	0.136585	4.292683	2313	2087	11.62	41.560974	17.463415	0.05	25.219999	0.136585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.013	1.153	2.428	15.618	37.922001	2.105	0.570000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	321.077789	0	0	11.18	0	60.48	10.69	21.639999	36.02	181.279999	0	18.389999	9.11	21.139999
S0462	GA10	D357	761140	237698	-36.4658	13.2704	59.8	4911	60.3	12.478	34.965	34.966999	266.068298	261.8537	0.487805	2.321951	0.136585	4.478049	2306.899902	2091.899902	11.62	41.560974	28.04878	0.05	25.219999	0.165854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.013	1.153	2.428	15.618	37.922001	2.105	0.570000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0463	GA10	D357	761140	237697	-36.4658	13.2704	81.5	4911	82.1	12.05	34.922001	34.923	252.273163	249.4634	0.663415	3.053658	0.136585	7.551219	2306.899902	2095.300049	NA	43.414635	28.04878	0.09	22.42	0.165854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.044001	1.156	2.43	15.614	37.941002	2.103	0.550000	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	279.283905	0	0	15.09	0	63.98	14.19	18.809999	36.549999	181.669998	0	14.37	8.93	23.67
S0464	GA10	D357	761140	237693	-36.4658	13.2704	101	4911	101.8	11.085	34.728001	34.749001	264.878052	260.6829	0.692683	2.673171	0.22439	7.834146	2301.100098	2093.199951	9.28	43.414635	34.078049	0.09	22.42	0.204878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.044001	1.156	2.43	15.614	37.941002	2.103	0.550000	0.51	149.593460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	11.47	2.58	1.97	6.5	25.870001	0	29.24	0	0
S0489	GA10	D357	761184	237889	-36.4502	13.231	6.3	4913	6.3	16.49	35.505001	35.506001	241.804886	240.0976	0.282927	2.926829	0.087805	1.756098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	250.9729	0	79.699997	0	5.34	47.860001	6.74	37.84	50.869999	122.830002	0	13.03	14.76	7.82
S0490	GA10	D357	761184	237887	-36.4502	13.231	21.1	4913	21.3	16.481	35.504002	35.505001	241.512207	240	0.292683	2.936585	0.087805	1.765854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	255.949402	0	16.65	0	6.55	44.580002	8.25	37.25	48.349998	118.980003	0	11.74	12.85	7.24
S0491	GA10	D357	761184	237886	-36.4502	13.231	40.7	4913	41	16.275	35.473999	35.484001	242.439026	239.5122	0.302439	2.809756	0.087805	1.756098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	500.480988	60.369999	0	0	8.21	91.650002	18.709999	31.52	97.470001	229.100006	0	10.35	22.68	11.78
S0492	GA10	D357	761184	237882	-36.4502	13.231	61.5	4913	62	14.73	35.299	35.300999	263.37561	251.1219	0.321951	1.326829	0.04878	0.819512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	12.77	5.82	1.81	12.24	36.68	0	0	0	0
S0493	GA10	D357	761184	237881	-36.4502	13.231	80.9	4913	81.5	14.562	35.34	35.339001	251.902435	247.8049	0.35122	1.717073	0.136585	1.443902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.978298	0	5.63	0	2.6	15.48	0	0	18.82	29.52	0	4.03	2.46	0
